TERM_REDUCED,SECTION,FREQ
Levine,Lastname,2
Peskin,Lastname,1
Holmgren,Lastname,1
Garboczi,Lastname,1
Gurney,Lastname,5
Liang,Lastname,5
Yuyu,Lastname,2
Bedrich,Lastname,1
Patarasuk,Lastname,3
Karion,Lastname,3
Lauvaux,Lastname,1
Lopez Coto,Lastname,1
Hudgens,Lastname,2
Gallagher,Lastname,2
Karageorgos,Lastname,2
Anderson,Lastname,3
Huang,Lastname,5
Chen,Lastname,1
Bou-Assaf,Lastname,1
Espada,Lastname,1
Chalmers,Lastname,1
Harguindey,Lastname,1
Zhang,Lastname,2
Walters,Lastname,1
Venable,Lastname,1
Steckler,Lastname,1
Park,Lastname,1
Brock,Lastname,1
Lu,Lastname,1
Pandey,Lastname,1
Chandramohan,Lastname,1
Srinivasan,Lastname,1
Nirudodhi,Lastname,1
Sperry,Lastname,1
Rouse,Lastname,1
Carroll,Lastname,1
Rand,Lastname,1
Leurs,Lastname,1
Weis,Lastname,1
Al-Naqshabandi,Lastname,1
Hageman,Lastname,1
Deredge,Lastname,1
Wintrode,Lastname,1
Papanastasiou,Lastname,1
Lambris,Lastname,1
Li,Lastname,1
Urata,Lastname,1
Engelbrecht-Wiggans,Lastname,2
Forster,Lastname,2
Caromi,Lastname,2
Souryal,Lastname,4
Hall,Lastname,2
Brady,Lastname,2
Alden,Lastname,1
Dessauw,Lastname,1
Sousa Amaral,Lastname,1
Long,Lastname,1
Sexton,Lastname,1
Bhat,Lastname,1
O'Keeffe,Lastname,2
Hutchins,Lastname,2
Song,Lastname,2
Rao,Lastname,2
Wong,Lastname,4
Whetstone,Lastname,5
Roest,Lastname,2
Darragh,Lastname,2
Bell,Lastname,1
Riccardi,Lastname,2
Harvey,Lastname,4
Garberoglio,Lastname,1
Gerbig,Lastname,1
Michaels,Lastname,1
Praniewicz,Lastname,1
Lane,Lastname,4
Kim,Lastname,2
Saldana,Lastname,1
Gilbert,Lastname,1
Butry,Lastname,1
Davis,Lastname,1
Gann,Lastname,1
Gendler,Lastname,1
Golbig,Lastname,1
Brodjieski,Lastname,1
Blake,Lastname,1
Heiserman,Lastname,1
Glemza,Lastname,1
Ramsey,Lastname,1
Hellmann,Lastname,2
Yeung,Lastname,1
Borsuk,Lastname,1
Gettings,Lastname,1
Kiesler,Lastname,1
Steffen,Lastname,1
Vallone,Lastname,1
Mendenhall,Lastname,1
Cline,Lastname,1
Black,Lastname,1
Ranganathan,Lastname,1
Sahoo,Lastname,2
Nguyen,Lastname,3
Wunderlich,Lastname,2
Sanders,Lastname,1
Coder,Lastname,1
Gao,Lastname,1
Marksz,Lastname,1
Schlom,Lastname,1
Hagerstrom,Lastname,1
Orloff,Lastname,1
McGillivray,Lastname,1
Prinzivalli,Lastname,2
Fain,Lastname,2
Stock,Lastname,2
DiGangi,Lastname,2
Biggs,Lastname,2
Draper,Lastname,1
Baldelli,Lastname,1
Veseshta,Lastname,1
Salameh,Lastname,2
Callahan,Lastname,2
Krueger,Lastname,1
Curtis,Lastname,1
Grishaev,Lastname,1
Bajcsy,Lastname,3
Schaub,Lastname,2
Simon,Lastname,3
Sisco,Lastname,3
Moorthy,Lastname,1
Paulechka,Lastname,1
Molnar,Lastname,1
Jarred,Lastname,1
Eric,Lastname,1
Heigel,Lastname,3
Phan,Lastname,1
Whiting,Lastname,1
Plante,Lastname,1
Taillon,Lastname,1
Lau,Lastname,1
Greene,Lastname,1
Newrock,Lastname,1
Bundy,Lastname,1
Bryant,Lastname,1
Moreaux,Lastname,1
Gamboa,Lastname,1
Griffith,Lastname,1
Rouil,Lastname,1
Tashkun,Lastname,1
Domanski,Lastname,1
Medina-Smith,Lastname,1
Becker,Lastname,1
Verhulst,Lastname,1
Lueker,Lastname,1
Cox,Lastname,1
Walker,Lastname,1
Paplawsky,Lastname,1
Angel,Lastname,1
Pongetti,Lastname,1
Weiss,Lastname,1
Keeling,Lastname,1
Miller,Lastname,1
Moorty,Lastname,1
Barbau,Lastname,1
Bock,Lastname,1
Dadfarnia,Lastname,1
Scott,Lastname,1
Tayi,Lastname,1
Butler,Lastname,1
Burns,Lastname,1
Babakhanova,Lastname,1
Zimmerman,Lastname,1
Pierce,Lastname,1
Sarkar,Lastname,1
Simon Jr.,Lastname,1
Z. H. Levine,Fullname,1
A. R. Peskin,Fullname,1
A. Holmgren,Fullname,1
E. Garboczi,Fullname,1
Kevin R. Gurney,Fullname,5
Jianming Liang,Fullname,5
Yuyu Zhou,Fullname,2
Bedrick Benes,Fullname,1
Risa Patarasuk,Fullname,3
Anna Karion,Fullname,3
Thomas Lauvaux,Fullname,1
Israel Lopez Coto,Fullname,1
Jeffrey W. Hudgens,Fullname,2
Elyssia S. Gallagher,Fullname,2
Ioannis Karageorgos,Fullname,1
Kyle W. Anderson,Fullname,2
Richard Y.-C. Huang,Fullname,1
Guodong Chen,Fullname,1
George M. Bou-Assaf,Fullname,1
Alfonso Espada,Fullname,1
Michael J. Chalmers,Fullname,1
Eduardo Harguindey,Fullname,1
Hui-Min Zhang,Fullname,1
Benjamin T. Walters,Fullname,1
Jennifer Zhang,Fullname,1
John Venable,Fullname,1
Caitlin Steckler,Fullname,1
Inhee Park,Fullname,1
Ansgar Brock,Fullname,1
Xiaojun Lu,Fullname,1
Ratnesh Pandey,Fullname,1
Arun Chandramohan,Fullname,1
Ganesh Srinivasan Anand,Fullname,1
